Station_Name,Index_No,Basin_Office,Types_of_Station,District,Latitude,Longitude,Elemeter,AgEstdDate,NMS_EstdDate,geometry
MUNA,628.0,N,PRECIPITATION,Myagdi,28.5,83.3,1970,1992-04-01,,POINT (83.3 28.5)
BAGHARA,629.0,N,PRECIPITATION,Myagdi,28.566667,83.383333,2330,1992-04-01,,POINT (83.383333 28.566667)
SIRKON,630.0,N,PRECIPITATION,Parbat,28.133333,83.616667,790,1992-04-01,,POINT (83.616667 28.133333)
CHHOSER,633.0,N,CLIMATOLOGY,Mustang,29.183333,83.983333,3870,,2018-06-07,POINT (83.983333 29.183333)
RIDI BAZAR,701.0,N,PRECIPITATION,Gulmi,27.95,83.433333,442,1956-07-01,1971-12-03,POINT (83.433333 27.95)
TANSEN,702.0,R,CLIMATOLOGY,Palpa,27.866667,83.533333,1067,1956-07-01,1971-12-03,POINT (83.533333 27.866667)
BUTWAL,703.0,R,CLIMATOLOGY,Rupandehi,27.7,83.466667,205,1956-07-01,1971-12-03,POINT (83.466667 27.7)
BELUWA (GIRWARI),704.0,N,PRECIPITATION,Nawalparasi,27.683333,84.05,150,1957-02-01,1971-04-03,POINT (84.05 27.683333)
BHAIRAHAWA AIRPORT,705.0,R,AERONATICAL,Rupandehi,27.516667,83.433333,109,,1966-09-03,POINT (83.433333 27.516667)
DUMKAULI,706.0,N,AGROMETEOROLOGY,Nawalparasi,27.683333,84.216667,154,1965-10-01,1974-01-03,POINT (84.216667 27.683333)
BHAIRAHAWA (AGRIC),707.0,R,AGROMETEOROLOGY,Rupandehi,27.533333,83.466667,120,,1968-01-03,POINT (83.466667 27.533333)
PARASI,708.0,R,PRECIPITATION,Nawalparasi,27.533333,83.666667,125,1971-05-01,1976-01-03,POINT (83.666667 27.533333)
DUMKIBAS,710.0,N,PRECIPITATION,Nawalparasi,27.583333,83.866667,164,1970-05-01,1974-01-03,POINT (83.866667 27.583333)
KHANCHIKOT,715.0,R,CLIMATOLOGY,Arghakhanchi,27.933333,83.15,1760,,,POINT (83.15 27.933333)
TAULIHAWA,716.0,R,CLIMATOLOGY,Kapilbastu,27.55,83.066667,94,,1970-11-03,POINT (83.066667 27.55)
PATTHARKOT (WEST),721.0,R,PRECIPITATION,Kapilbastu,27.766667,83.05,200,,1973-03-03,POINT (83.05 27.766667)
MUSIKOT,722.0,N,PRECIPITATION,Gulmi,28.166667,83.266667,1280,1956-06-01,1971-12-03,POINT (83.266667 28.166667)
BHAGWANPUR,723.0,R,PRECIPITATION,Kapilbastu,27.683333,82.8,80,,1975-01-03,POINT (82.8 27.683333)
