date,lat,lon,temperature_celsius,total_precip_m,snow_melt_m,large_scale_snow_melt_m,snow_runoff_m,number,expver,t2m_norm,tp_norm,smlt_norm,lblt_norm,src_norm
2025-04-09,31.0,85.3999999999997,-1.5162048,0.00011238456,7.3611736e-06,276.85278,5.9604645e-08,0,0005,-0.5141686,-0.49952537,-0.259728,-0.8700921,-0.5235604
2025-04-09,31.0,85.49999999999969,-1.7779236,9.933114e-05,0.0,276.79028,-2.775558e-20,0,0005,-0.53117687,-0.5068837,-0.26427624,-0.87961656,-0.5241551
2025-04-09,31.0,85.59999999999968,-1.3990173,9.599328e-05,3.0890107e-05,276.65845,3.2782555e-07,0,0005,-0.506553,-0.5087652,-0.24519025,-0.8997072,-0.5208843
2025-04-09,31.0,85.69999999999968,-1.9497986,7.7188015e-05,3.8936734e-05,276.28442,8.34465e-07,0,0005,-0.5423464,-0.51936585,-0.2402185,-0.9567051,-0.51582944
2025-04-09,31.0,85.79999999999967,-3.020111,5.927682e-05,3.716722e-05,276.76,8.34465e-07,0,0005,-0.6119025,-0.5294625,-0.24131183,-0.88422996,-0.51582944
2025-04-09,31.0,85.89999999999966,-3.6255798,8.454919e-05,6.83628e-05,276.59595,8.6426735e-07,0,0005,-0.6512499,-0.51521635,-0.22203709,-0.9092316,-0.5155321
2025-04-09,31.0,85.99999999999966,-3.5220642,0.00012496114,0.00012407452,276.47583,1.2516975e-06,0,0005,-0.6445227,-0.49243587,-0.18761463,-0.9275364,-0.5116666
2025-04-09,31.0,86.09999999999965,-3.5415955,0.00017428398,0.00014993548,276.3557,3.1888485e-06,0,0005,-0.645792,-0.46463233,-0.17163597,-0.94584125,-0.4923392
2025-04-09,31.0,86.19999999999965,-3.8736267,0.00023564696,0.00014158711,276.52368,5.6922436e-06,0,0005,-0.6673696,-0.43004167,-0.17679417,-0.9202443,-0.46736225
2025-04-09,31.0,86.29999999999964,-3.7642517,0.00030136108,0.0001501292,276.50708,1.4543533e-05,0,0005,-0.6602617,-0.39299825,-0.17151628,-0.9227742,-0.37905094
2025-04-09,31.0,86.39999999999964,-2.1060486,0.00030758977,0.00014072284,276.8059,1.2099743e-05,0,0005,-0.5525006,-0.3894871,-0.17732817,-0.8772354,-0.40343317
