DCD,VCD,VNM,DNM,DIST,VDCMUN,VNAME_CBS,LINKID,DDVVV,CEMENT_RCC,DRINK_WATE,TOILET,INFORMATIO,TRANSPORT,SLC___EQUI,POPULATION,SEX_RATIO,POP_ABROAD,TOTAL_DEP_,CHILD_WOMA,ROAD_DEN,HEALTH_FAC,FLOOD_FREQ,HAND_DEN,RIV_DEN,FOREST_DEN
1.1560754676702436,-0.05104798193727718,LEKHPARAJUL,SURKHET,1.1575341736845064,-0.034276035349576316,Lekhparajul,1.181496812339589,1.1627776445503877,-0.6449714681124086,-3.3680590789931673,-1.0491395892720519,-0.6251348254872603,-0.7647215200356559,-1.124228498069868,0.1262636781729618,0.8010278285594865,-0.22877931190794698,0.2544275095265743,0.785827599284811,-1.0201784935313625,0.05720215541782416,-0.3117380841677691,-0.4872909987759206,0.31219618744001476,0.8131352262929481
1.1560754676702436,-0.034276035349576316,LEKHPHARSA,SURKHET,1.1575341736845064,-0.06781992852497805,Lekhfarsa,1.1823658795057086,1.162680510700485,-0.49919672447610347,0.4786794685142297,0.145269698868672,0.12174410510846581,-0.6757311653241453,0.0007989293510193437,-0.041742352066331936,-0.4807375974877196,0.1205849426668122,-0.8610870263433725,-0.18146269896205092,-0.6097594911882044,0.05720215541782416,-0.3117380841677691,-0.5342926181617843,0.3501773253699346,-0.277796113997759
1.1560754676702436,-0.01750408876187545,MAINTARA,SURKHET,1.1575341736845064,-0.01750408876187545,Maintada,1.1832349466718282,1.162826211475339,-0.41546660313128353,-3.311322522245271,0.5401758123918728,-0.489155642582917,-0.6613864514303496,-0.9493402436912151,0.25151646544215217,-1.1745532854436467,1.2086274305689209,0.864979173646929,0.32705264632708275,-0.6097594911882044,0.05720215541782416,-0.3117380841677691,-0.3462861406183293,0.6312377460513425,0.22726469169238311
1.1560754676702436,-0.0007321421741745859,MALARANI,SURKHET,1.1575341736845064,-0.0007321421741745859,Malarani,1.1841040138379477,1.1628747784002902,-0.6540070927179648,-1.0532075636789817,0.15374927799340332,-0.23568166099137577,-0.7368290207977197,-0.44033711527573227,-0.07159308181272125,0.08533901046623393,-0.1003135321988427,0.06809434651934494,0.19438674234271994,-0.6097594911882044,0.05720215541782416,-0.3117380841677691,0.7582519149494688,0.3729660081278866,0.2878719883752002
1.1560754676702436,0.016039804413526277,MATELA,SURKHET,1.1575341736845064,0.016039804413526277,Matela,1.1849730810040673,1.1629233453252414,-0.623285969059074,-0.24754845785884816,-0.8141341106723557,-0.8775107248480799,-0.7758785197308303,-0.3803008488472395,-0.028675823844011336,0.14045929841229082,-0.09013026917312102,0.8966558113581574,1.0390039590526086,-1.0201784935313625,0.05720215541782416,-0.3117380841677691,-0.5342926181617843,-0.9107964539034094,-0.7222496230050841
1.1560754676702436,0.032811751001227143,MEHELKUNA,SURKHET,1.1575341736845064,0.032811751001227143,Mehelkuna,1.1858421481701868,1.1629719122501927,-0.17692611354460247,-2.7074482139024396,-0.3917703123643107,-0.3015665948346644,-0.5917880247604518,-1.1372798603369318,0.1765069394127636,-1.1395562772239285,0.6054649282761753,0.282377483977658,0.1326400484140792,-0.6097594911882044,0.05720215541782416,-0.3117380841677691,-0.3932877600041931,0.48690942191764675,0.1262525305543547
1.1560754676702436,0.04958369758892801,NETA,SURKHET,1.1575341736845064,0.04958369758892801,Neta,1.1867112153363066,1.163020479175144,-0.6142503444535179,-0.12223467165045059,-0.4999858935751674,-0.5751720839894329,-0.7676435913843921,-0.9467299712378024,-0.16508163101844606,0.8097770806144158,-0.26246241268533405,-0.6648160946424245,-0.08474112646754954,-1.0201784935313625,0.05720215541782416,-0.3117380841677691,0.3822389598625588,-0.9107964539034094,-0.7222496230050841
1.1560754676702436,0.06635564417662887,PAMKA,SURKHET,1.1575341736845064,0.06635564417662887,Pamka,1.1875802825024262,1.1630690461000952,-0.6702712170079657,0.4002350117932245,-1.1739105392502411,-0.4710372857760127,-0.7758785197308303,-0.8866937048093094,-0.24145794870288906,0.45018282115680386,-0.32747863046494174,0.020268834680822106,0.6111769263610463,-0.1993404888450463,0.05720215541782416,-0.3117380841677691,-0.4872909987759206,0.02353953917262266,-0.13637908840451926
1.1560754676702436,0.08312759076432974,POKHARIKANDA,SURKHET,1.1575341736845064,0.08312759076432974,Pokharikanda,1.1884493496685458,1.1631176130250465,-0.6630427173235208,-1.5307813630873646,0.42711475739545524,-0.3378033084484733,-0.7758785197308303,-1.017207327479946,-0.10089709489708878,0.818526332669345,-0.2937955296875546,-0.06047553595564377,0.3178801302000019,-0.6097594911882044,0.05720215541782416,-0.3117380841677691,-0.20528128246073804,0.4109471460578067,0.9747546841137935
1.1560754676702436,0.0998995373520306,RAJENA,SURKHET,1.1575341736845064,0.0998995373520306,Rajena,1.1893184168346653,1.1631661799499977,-0.6702712170079657,-0.0329362649428913,-1.108496643145171,-0.4880575603521955,-0.7758785197308303,-0.9728326957719297,-0.19269082245054606,0.7642809699287815,-0.28282893873677745,-0.06606553084586086,0.6426468597401365,-0.6097594911882044,0.05720215541782416,-0.3117380841677691,-0.3462861406183293,0.10709804261844673,0.44949144619604564
